,epa_registration_number,product_name,date_of_application,municipality,zip_code,county_code,address,dosage_rate,place,qtty_used,units
110,062719‐00324,Rodeo,9/26/2017,Queens,11413,61,Springfield Lane and 149th Ave,30%,Idlewild Park,50,ML
111,062719‐00324,Rodeo,9/27/2017,Queens,11413,61,149th Ave and 225th St,33%,Idlewild Park,50,ML
112,062719‐00324,Rodeo,9/27/2017,Queens,11413,61,149th Ave and 225th St,33%,Idlewild Park,50,ML
113,062719‐00324,Rodeo,9/27/2017,Queens,11413,61,149th Ave and 225th St,33%,Idlewild Park,30,ML
114,062719‐00324,Accord Concentrate,8/23/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,25,GL
115,062719‐00324,Accord Concentrate,8/28/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,25,GL
116,062719‐00324,Accord Concentrate,8/30/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,25,GL
117,062719‐00556,Accord XRT II,4/27/2017,Staten Island,10306,62,CedarGrove Ave and Garibaldi Ave,3%,Great Kills Park,1800,ML
118,062719‐00556,Accord XRT II,8/23/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,25,GL
119,062719‐00556,Accord XRT II,5/18/2017,Staten Island,10314,62,Travis Ave,3%,Freshkills Park,1350,ML
120,062719‐00556,Accord XRT II,5/18/2017,Staten Island,10314,62,Travis Ave,1%,Freshkills Park,300,ML
121,062719‐00556,Accord XRT II,5/18/2017,Staten Island,10309,62,Holten Ave,1%,Wolfe's Pond Park,1050,ML
122,062719‐00556,Accord XRT II,8/8/2017,Staten Island,10307,62,Billop Ave and Surf Ave,3%,Conference House Park,2250,ML
123,062719‐00556,Accord XRT II,8/8/2017,Staten Island,10307,62,Billop Ave and Surf Ave,3%,Conference House Park,2250,ML
124,062719‐00556,Accord XRT II,8/28/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,25,GL
125,062719‐00556,Accord XRT II,8/30/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,25,GL
126,062719‐00556,Accord XRT II,7/25/2017,Staten Island,10307,62,surf ave and billops,50%,Conference House Park,750,ML
127,062719‐00556,Accord XRT II,7/31/2017,Staten Island,10307,62,billop and surf,2%,Conference House Park,600,ML
128,062719‐00556,Accord XRT II,7/31/2017,Staten Island,10307,62,Surf Avene,5%,Conference House Park,1000,ML
129,062719‐00556,Accord XRT II,8/1/2017,Staten Island,10307,62,surf and billups,2%,Conference House Park,900,ML
130,062719‐00556,Accord XRT II,8/2/2017,Staten Island,10307,62,surf and billup,2%,Conference House Park,400,ML
131,062719‐00556,Accord XRT II,8/2/2017,Staten Island,10307,62,surf and billup,2%,Conference House Park,400,ML
132,062719‐00556,Accord XRT II,8/11/2017,Staten Island,10310,62,utter and slossen,5%,Clove Lakes Park,2000,ML
133,062719‐00556,Accord XRT II,8/21/2017,Staten Island,10301,62,utter and slosson,5%,Clove Lakes Park,1500,ML
134,062719‐00556,Accord XRT II,8/21/2017,Staten Island,10301,62,Slosson Avenue,5%,Clove Lakes Park,500,ML
135,062719‐00556,Accord XRT II,8/22/2017,Staten Island,10301,62,utter and slosson,5%,Clove Lakes Park,1500,ML
136,062719‐00556,Accord XRT II,8/22/2017,Staten Island,10301,62,Slosson Ave,5%,Clove Lakes Park,500,ML
137,062719‐00556,Accord XRT II,8/23/2017,Staten Island,10301,62,utter and slosson,5%,Clove Lakes Park,2000,ML
138,062719‐00556,Accord XRT II,8/23/2017,Staten Island,10301,62,Slosson Ave,5%,Clove Lakes Park,1000,ML
139,062719‐00556,Accord XRT II,8/24/2017,Staten Island,10301,62,utter and slosson,5%,Clove Lakes Park,2000,ML
140,062719‐00556,Accord XRT II,8/24/2017,Staten Island,10301,62,Slosson,5%,Conference House Park,1000,ML
141,062719‐00556,Accord XRT II,9/12/2017,Staten Island,10307,62,billops and surf,5%,Conference House Park,2000,ML
142,062719‐00556,Accord XRT II,9/12/2017,Staten Island,10307,62,surf and billops ave,2%,Conference House Park,500,ML
143,062719‐00556,Accord XRT II,9/26/2017,Staten Island,10301,62,Butler Terrace,3%,Jones Woods Park,1350,ML
144,062719‐00556,Accord XRT II,9/26/2017,Staten Island,10301,62,Butler Terrace,2%,Jones Woods Park,600,ML
145,062719‐00556,Accord XRT II,10/25/2017,Staten Island,10307,62,Surf Ave and Swinnerton Ave,3%,Conference House Park,1800,ML
146,062719‐00556,Accord XRT II,7/31/2017,Staten Island,10307,62,Billup,2%,Conference House Park,600,ML
147,062719‐00556,Accord XRT II,7/25/2017,Staten Island,10307,62,Billop ave and Surf ave,2%,Conference House Park,600,ML
148,062719‐00556,Accord XRT II,7/31/2017,Staten Island,10307,62,PalisaSurf ave and Billop ave,5%,Conference House Park,3000,ML
149,062719‐00556,Accord XRT II,8/1/2017,Staten Island,10307,62,Billop ave and Surf ave,2%,Conference House Park,400,ML
150,062719‐00556,Accord XRT II,8/2/2017,Staten Island,10307,62,Bilop ave and Surf ave,5%,Conference House Park,2750,ML
151,062719‐00556,Accord XRT II,9/12/2017,Staten Island,10307,62,billops and surf,2%,Conference House Park,300,ML
152,062719‐00324,Rodeo,9/12/2017,Staten Island,10306,62,Kissam Ave and Great Kills Ln,3%,Great Kills Park,450,ML
153,062719‐00324,Rodeo,9/12/2017,Staten Island,10306,62,Tysens Ln and Cedar Grove Ave,3%,Great Kills Park,7650,ML
154,062719‐00324,Accord Concentrate,8/24/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,75,GL
155,062719‐00556,Accord XRT II,8/24/2017,Staten Island,10306,62,Buffalo Street,25%,Great Kills Park,75,GL
156,062719‐00556,Accord XRT II,9/26/2017,Staten Island,10306,62,Tysens Ln and Cedar Grove Ave,3%,Great Kills Park,1350,ML
