,epa_registration_number,product_name,qtty_used,units,dosage_rate,date_of_application,county_code,place,address,zip_code
43,524‐579,Roundup ProMax,27,FL,7%,7/8/2017,61,Flushing Meadows Corona Park,"Grand Central Pkwy, Van Wyck Exwy",11375.0
44,524‐579,Roundup ProMax,104,FL,2%,7/12/2017,61,Flushing Meadows Corona Park,"Grand Central Pkwy, Van Wyck Exwy",11375.0
45,524‐579,Roundup ProMax,208,FL,2%,7/26/2017,61,Forest Park,"Myrtle Ave, Union Tpke, Park Lane S",11418.0
46,524‐579,Roundup ProMax,2,FL,2%,9/16/2017,61,Forest Park,"Myrtle Ave, Union Tpke, Park Lane S",11418.0
47,,,,,,,,,"Gen Berry Rd, Shore Rd, Ordnance Rd, Visitor Center, North Lp, Abbot",
48,524‐579,Roundup ProMax,13,FL,2%,5/16/2017,61,Fort Totten Park Zone 1,"Rd, Whistler Ave, W Reed Rd",11359.0
49,524‐579,Roundup ProMax,26,FL,2%,7/10/2017,61,Freedom Square Playground,Vleigh Pl & Main St,11367.0
50,524‐579,Roundup ProMax,26,FL,2%,8/20/2017,61,Freedom Square Playground,Vleigh Pl & Main St,11367.0
51,524‐579,Roundup ProMax,221,FL,2%,8/10/2017,61,Golden Pond In Crocheron Park,Btwn 35th Ave And Corbett Rd,11360.0
52,524‐579,Roundup ProMax,4,fl,2%,7/18/2017,61,Greenstreet,Grnd Cntrl Py Sr N & Main St E Triangle,11367.0
53,524‐579,Roundup ProMax,8,fl,2%,7/18/2017,61,Greenstreet,Main St. Btw Grand Central Py & Union Tp,11367.0
54,524‐579,Roundup ProMax,4,fl,2%,7/18/2017,61,Greenstreet,Reeves Av & 61 Rd,11367.0
55,524‐579,Roundup ProMax,4,fl,2%,8/8/2017,61,Greenstreet,"Carpenter Ave, Jamaica Ave",11434.0
56,524‐579,Roundup ProMax,8,fl,2%,8/8/2017,61,Greenstreet,"Liberty Ave, Farmers Blvd & Hilbrun Ave",11434.0
57,524‐579,Roundup ProMax,4,fl,2%,8/8/2017,61,Greenstreet,Liberty Ave & Merrick Blvd & 168 St,11434.0
58,524‐579,Roundup ProMax,104,FL,2%,8/8/2017,61,Greenstreet,"Carpenter Ave, Jamaica Ave",11423.0
59,524‐579,Roundup ProMax,156,FL,2%,8/8/2017,61,Greenstreet,Merrick Blvd & Springfield Blvd,11413.0
60,524‐579,Roundup ProMax,52,FL,2%,8/17/2017,61,Greenstreet,Springfield Blvd Bet. 116 Ave & 115 Rd,11411.0
61,524‐579,Roundup ProMax,4,fl,2%,8/19/2017,61,Greenstreet,23rd Avenue & Murray Street & Willets Point Blvd,11357.0
62,524‐579,Roundup ProMax,4,fl,2%,8/19/2017,61,Greenstreet,150 St Bet Willets Point Bl & 24 Av,11357.0
63,524‐579,Roundup ProMax,8,fl,2%,8/19/2017,61,Greenstreet,24th Rd. & 149th St. & Willets Point Ave (west),11357.0
64,524‐579,Roundup ProMax,208,FL,2%,8/20/2017,61,Greenstreet,111 St & 54 Ave to 48 Ave,11368.0
65,524‐579,Roundup ProMax,156,FL,2%,8/21/2017,61,Greenstreet,111 St & 54 Ave to 48 Ave,11368.0
66,524‐579,Roundup ProMax,78,FL,2%,8/23/2017,61,Greenstreet,Springfield Blvd Bet. 112 Ave & 113 St,11411.0
67,524‐579,Roundup ProMax,208,FL,2%,8/24/2017,61,Greenstreet,101 St & Ditmars Bl,11369.0
68,524‐579,Roundup ProMax,4,fl,2%,8/25/2017,61,Greenstreet,"Carpenter Ave, Jamaica Ave",11434.0
69,524‐579,Roundup ProMax,4,fl,2%,8/26/2017,61,Greenstreet,Liberty Ave & Merrick Blvd & 168 St,11434.0
70,524‐579,Roundup ProMax,4,fl,2%,8/26/2017,61,Greenstreet,"Liberty Ave, Farmers Blvd & Hilbrun Ave",11434.0
71,524‐579,Roundup ProMax,208,FL,2%,8/31/2017,61,Greenstreet,Springfield Blvd & 135 Ave & 136 Ave,11413.0
72,524‐579,Roundup ProMax,364,FL,2%,8/31/2017,61,Greenstreet,"Francis Lewis Blvd, & Springfield Blvd. & 119th Ave.",11411.0
73,524‐579,Roundup ProMax,26,FL,2%,9/6/2017,61,Greenstreet,"239 St, Hillside Ave To 87 Ave",11427.0
74,524‐579,Roundup ProMax,208,FL,2%,8/6/2017,61,Hammel Playground,B 83 St & Rockaway Beach Blvd,11693.0
75,524‐579,Roundup ProMax,52,FL,2%,7/3/2017,61,Harold Schneiderman Playground,155 Ave & 83 St,11414.0
76,524‐579,Roundup ProMax,78,FL,2%,8/17/2017,61,Harvey Park,"15 To 20 Aves, E Of Whitestone Exwy",11357.0
77,,,,,,,,,"Jackie Robinson Pkwy, Highland Blvd, North And West Of Natural Area,",
78,524‐579,Roundup ProMax,6,FL,2%,9/12/2017,61,Highland Park Zone 2,West Of Red Brick Structure,11385.0
79,524‐579,Roundup ProMax,104,FL,2%,7/11/2017,61,Hillside Park,"82 Ave, 256 To 257 Sts",11004.0
80,524‐579,Roundup ProMax,8,fl,2%,8/8/2017,61,Hollis Veterans Square,"Jamaica & Hollis Aves, 187 Pl",11434.0
81,524‐579,Roundup ProMax,78,FL,2%,8/8/2017,61,Hollis Veterans Square,"Jamaica & Hollis Aves, 187 Pl",11423.0
82,524‐579,Roundup ProMax,4,fl,2%,8/25/2017,61,Hollis Veterans Square,"Jamaica & Hollis Aves, 187 Pl",11434.0
83,524‐579,Roundup ProMax,52,FL,2%,6/29/2017,61,Idlewild Park,"Rockaway Blvd, Springfield Blvd, 149 Ave",11413.0
84,524‐579,Roundup ProMax,52,FL,2%,7/9/2017,61,Idlewild Park,"Rockaway Blvd, Springfield Blvd, 149 Ave",11413.0
85,524‐579,Roundup ProMax,130,FL,2%,7/23/2017,61,Jamaica Playground,"110 Ave, 160 St, Union Hall St",11434.0
86,524‐579,Roundup ProMax,13,FL,2%,5/21/2017,61,John Golden Park,"215 Pl, S/o 32 Ave",11360.0
87,524‐579,Roundup ProMax,104,FL,2%,5/28/2017,61,John Golden Park,"215 Pl, S/o 32 Ave",11360.0
88,,,,,,,,,"Btw N. And S. Juniper Blvds, 80th St, And The Pathway From 78th St (on",
89,524‐579,Roundup ProMax,104,FL,2%,7/30/2017,61,Juniper Valley Park Zone 3,N.) To 77th Pl. (on S.),11379.0
90,524‐579,Roundup ProMax,50,FL,2%,9/27/2017,61,Kissena Park,"Booth Memorial, 164 St ‐ 162 St",11365.0
91,524‐579,Roundup ProMax,50,FL,2%,9/27/2017,61,Kissena Park,"Booth Memorial, 162 St ‐ 160 St",11365.0
92,524‐579,Roundup ProMax,130,FL,2%,9/27/2017,61,Kissena Park,,11365.0
93,524‐579,Roundup ProMax,286,FL,2%,8/6/2017,61,Lannett Playground,B 8 St & Lanett Ave,11691.0
94,524‐579,Roundup ProMax,78,FL,2%,7/9/2017,61,Laurelton Parkway West,120th Ave & 238th Street,11413.0
95,524‐579,Roundup ProMax,52,FL,2%,5/18/2017,61,Little Bay Park,"Little Bay, Cross Island Pkwy, Utopia Pkwy",11359.0
96,524‐579,Roundup ProMax,26,FL,2%,5/21/2017,61,Little Bay Park,"Little Bay, Cross Island Pkwy, Utopia Pkwy",11366.0
97,524‐579,Roundup ProMax,104,FL,2%,7/10/2017,61,Louis Armstrong Playground,37 Ave Bet 112 & 113 Sts,11368.0
98,524‐579,Roundup ProMax,234,FL,2%,8/14/2017,61,Louis Pasteur Park,248 St & 51 Ave,11362.0
99,524‐579,Roundup ProMax,156,FL,2%,7/26/2017,61,Mall Thirty Four XXXIV,"34 Ave, 114 St To 91 St",11372.0
100,524‐579,Roundup ProMax,64,fl,2%,6/2/2017,61,Marconi Park,109 Ave & 155 St,11433.0
101,524‐579,Roundup ProMax,104,FL,2%,6/14/2017,61,Maurice A Fitzgerald Playground,Atlantic Ave & 106 St,11416.0
102,524‐579,Roundup ProMax,8,fl,2%,8/19/2017,61,McKee Triangle,"149 St, 15 Ave, Cross Island Pkwy",11357.0
103,524‐579,Roundup ProMax,156,FL,2%,8/8/2017,61,Merrick Malls,Merrick Blvd & 109 Ave & 110 Ave to 111 Ave & 111 Rd,11433.0
104,524‐579,Roundup ProMax,78,FL,2%,7/20/2017,61,Oakland Gardens,E/s Springfield Blvd & 54 Ave,11364.0
105,524‐579,Roundup ProMax,4,FL,2%,7/28/2017,61,Oakland Lake,"Springfield Blvd, 46th Ave, Garland Dr, 56th Ave",11361.0
106,524‐579,Roundup ProMax,32,fl,2%,5/18/2017,61,Overlook Park,"Ditmars Blvd, 97‐100 Sts",11369.0
107,524‐579,Roundup ProMax,182,FL,2%,7/11/2017,61,Park Of The Americas,104 St & 41 Ave,11368.0
108,524‐579,Roundup ProMax,52,FL,2%,7/3/2017,61,Playground Eighty LXXX,"80 Ave, 261 & 262 Sts",11004.0
109,524‐579,Roundup ProMax,13,FL,2%,5/21/2017,61,Remsen Family Cemetery,"Trotting Course Lane, Alderton St, N Of Metropolitan Ave",11314.0
110,524‐579,Roundup ProMax,26,FL,2%,9/18/2017,61,Remsen Family Cemetery,"Trotting Course Lane, Alderton St, N Of Metropolitan Ave",11374.0
111,524‐579,Roundup ProMax,30,FL,2%,7/6/2017,61,Rockaway Freeway Dog Run,"B 108 St To Mott Ave, 83 St",11693.0
112,524‐579,Roundup ProMax,10,FL,2%,7/6/2017,61,Rockaway Freeway Dog Run,"B 108 St To Mott Ave, 83 St",11693.0
113,524‐579,Roundup ProMax,104,FL,2%,8/16/2017,61,Rockaway Freeway Dog Run,"B 108 St To Mott Ave, 83 St",11693.0
114,524‐579,Roundup ProMax,26,FL,2%,7/3/2017,61,Rocket Park,N Conduit & 149 Aves,11417.0
115,524‐579,Roundup ProMax,130,FL,2%,7/30/2017,61,Rosemary's Playground,"Woodward Ave, Woodbine St, Fairview Ave",11385.0
116,524‐579,Roundup ProMax,104,FL,2%,7/30/2017,61,Rosemary's Playground,"Woodward Ave, Woodbine St, Fairview Ave",11385.0
117,,,,,,,,,"Merrick Blvd, Between 119 Av And Victoria Rd Running Across Field To",
118,524‐579,Roundup ProMax,4,fl,2%,7/8/2017,61,Roy Wilkins Rec Center Zone 1A,Hospital,11434.0
119,524‐579,Roundup ProMax,52,FL,2%,7/20/2017,61,Springfield Park,"149 Ave, Springfield Blvd, 145 Rd, 184 St",11413.0
120,524‐579,Roundup ProMax,208,FL,2%,8/14/2017,61,Springfield Park,"149 Ave, Springfield Blvd, 145 Rd, 184 St",11413.0
121,524‐579,Roundup ProMax,156,FL,2%,8/14/2017,61,Springfield Park,"149 Ave, Springfield Blvd, 145 Rd, 184 St",11413.0
122,524‐579,Roundup ProMax,26,FL,2%,9/18/2017,61,Springfield Park,"149 Ave, Springfield Blvd, 145 Rd, 184 St",11413.0
123,524‐579,Roundup ProMax,6,FL,2%,9/19/2017,61,Springfield Park North,145 Rd & Springfield Blvd,11413.0
124,524‐579,Roundup ProMax,52,FL,2%,7/3/2017,61,Street Trees,"160th Ave, 80th Street",11414.0
125,524‐579,Roundup ProMax,104,FL,2%,7/20/2017,61,Sunrise Playground,149 Ave & 253 St,11413.0
126,524‐579,Roundup ProMax,156,FL,2%,8/17/2017,61,Tudor Malls,"133 Ave, 86 St, 82 St",11417.0
127,524‐579,Roundup ProMax,6,FL,2%,9/19/2017,61,Underbridge Dog Run,"W/o Grand Central Pkwy, 112 St Bet 64 Ave & 64 Rd",11375.0
128,524‐579,Roundup ProMax,4,fl,2%,7/18/2017,61,Vleigh Playground,70 Rd To 71 Ave,11367.0
129,524‐579,Roundup ProMax,156,FL,2%,8/6/2017,61,Westbourne Playground,Mott Ave & Bay 25 St,11691.0
130,524‐579,Roundup ProMax,5,FL,2%,5/4/2017,61,Alley Athletic Playground,"Winchester Blvd, Union Tpke",11426
