EPA REGISTRATION NUMBER,PRODUCT NAME,QTY CHEMICAL USED,UNITS,RATE,PLACE OF APPLICATION,DATE OF APPLICATION,ADDRESS,MUNICIPALITY,,ZIPCODE
524-579,Round Up Pro Max,28,FL,1.60%,Dr. Green Playground,06/30/2018,Sutter Ave/Mother Gaston Blvd/Rockaway Ave,Kings,11212
524-579,Round Up Pro Max,253,FL,3.33%,Manhattan Beach Park,05/24/2018,Oriental Boulevard/Irwin Street/ Hastings,Kings,11235
524-579,Round Up Pro Max,1.6,FL,5.00%,"Captain John McKenna, IV Park",06/16/2018,W/S Expwy/S/S Vanderbilt St/E. 5th St,Kings,11218
524-579,Round Up Pro Max,32,FL,1.60%,Brownsville Playground,06/22/2018,Hegeman Ave/ Mother Gaston Blvd/ Junius St,Kings,11212
,,,,,Patrick O'Rourke,,,,
524-579,Round Up Pro Max,23,FL,3.00%,Playground,07/02/2018,81st/11th Av/12th Av,Kings,11228
524-579,Round Up Pro Max,20,FL,1.60%,Belmont Playground,06/08/2018,Belmont Ave/ Drew St/Forbell St,Kings,11208
524-579,Round Up Pro Max,64,FL,2.50%,Surf Playground,05/29/2018,Surf Ave/West 25th St/West 26th St,Kings,11224
524-579,Round Up Pro Max,4.14,FL,2.20%,Greenstreet,06/05/2018,Cayler street/ McGuinness Boulevard/Meserole avenue,Kings,11222
524-579,Round Up Pro Max,6.4,FL,5.00%,Pulaski Playground,07/28/2018,Hart St/Throop Ave/Marcus Garvey Ave.,Kings,11206
524-579,Round Up Pro Max,80,FL,2.50%,Century Playground,05/31/2018,West 2nd St/Brighton Ave/West 4th St,Kings,11224
524-579,Round Up Pro Max,11.5,FL,3.00%,Tom Mcdonald Triangle,06/29/2018,83st/6th Av/FT Hamilton PKWY,Kings,11209
524-579,Round Up Pro Max,7.13,FL,2.20%,Ericsson Playround,07/31/2018,Leonard Street/ Manhattan Avenue/ Bayard Street,Kings,11222
524-579,Round Up Pro Max,3.57,FL,2.20%,Ericsson Playround,07/31/2018,Leonard Street/ Manhattan Avenue/ Baynard street,Kings,11222
524-579,Round Up Pro Max,24,FL,1.60%,Howard Playground,06/29/2018,Mother Gaston Blvd/Glenmore Ave/ E New York Ave,Kings,11212
524-579,Round Up Pro Max,12,FL,1.60%,Chester Playground,06/29/2018,Chester St/ Sutter Ave/ Pitkin Ave,Kings,11212
524-579,Round Up Pro Max,26,FL,1.60%,Houston Playground,05/24/2018,Powell St/Glenmore Ave/Sackman St,Kings,11212
524-579,Round Up Pro Max,6,FL,1.60%,Duke Park,06/23/2018,New Jersey Ave/Blake Ave/ Dumont Ave,Kings,11207
524-579,Round Up Pro Max,3.2,FL,2.50%,Coney Island Creek Park,07/24/2018,West 33rd/West 37th/Bayview Ave,Kings,11224
524-579,Round Up Pro Max,1.6,FL,5.00%,Fresh Creek Park,05/29/2018,Seaview Ave/Louisiana Ave/Hornell Loop,Kings,11239
524-579,Round Up Pro Max,3.2,FL,5.00%,Green Central Knoll,10/26/2018,EVERGREEN AVENUE/FLUSHING AVENUE/CENTRAL AVENUE,KINGS,11206
524-579,Round Up Pro Max,12.8,FL,3.00%,Green Central Knoll,10/26/2018,EVERGREEN AVENUE/FLUSHING AVENUE/CENTRAL AVENUE,KINGS,11206
524-579,Round Up Pro Max,16,FL,1.60%,Nehemiah Park,06/26/2018,Watkins St/ Mother Gaston Blvd/Livonia Ave,Kings,11212
524-579,Round Up Pro Max,6,FL,1.60%,Carter Woodson Playground,06/16/2018,Christopher St/Sutter Ave/Belmont Ave,Kings,11212
524-579,Round Up Pro Max,14,FL,1.60%,G.Walker Park,06/22/2018,Wyona St/Vermont St/Jamaica Ave,Kings,11207
524-579,Round Up Pro Max,5.75,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217
524-579,Round Up Pro Max,5.75,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217
524-579,Round Up Pro Max,7.7,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217
524-579,Round Up Pro Max,3.8,FL,3.00%,South Oxford Park,10/09/2018,South Oxford St/Cumberland St/ Atlantic Ave,Kings,11217
,,,,,Louis J Valentino Jr. Park,,,,
524-579,Round Up Pro Max,14.4,FL,2.20%,and Pier,08/15/2018,Ferris Street/ Coffey Street/ VanDyke Street,Kings,11231
524-579,Round Up Pro Max,14.4,FL,2.20%,Louis Valentino Jr. Park,08/15/2018,Ferris street/ Coffey street/ VanDyke street,Kings,11231
524-579,Round Up Pro Max,224,FL,3.00%,American Veteran Memorial Piers,9/1/2018,Bay Ridge Ave/Shore Rd/68st St,Kings,11209
524-579,Round Up Pro Max,40,FL,2.20%,Old Gravesend Cemetery,07/31/2018,Gravesend Neck Road/ Village Road East/ Village Road North,Kings,11223
524-579,Round Up Pro Max,40,FL,2.20%,Old Gravesend Cemetery,07/31/2018,Gravesend neck road/ Village Road East/ Village Road North,Kings,11223
524-579,Round Up Pro Max,12.8,FL,3.00%,Bushwick Inlet Park,08/12/2018,Franklin St/Meserole Ave/Kent St,Kings,11249
524-579,Round Up Pro Max,14.08,FL,2.20%,Lincoln Terrace Park,08/20/2018,Eastern Parkway/ Buffalo Avenue/ Rochester Avenue,Kings,11213
524-579,Round Up Pro Max,2.2,FL,2.20%,Lincoln Terrace Park,08/20/2018,Eastern Parkway/ Buffalo avenue/ Rochester avenue,Kings,11213
524-579,Round Up Pro Max,214,FL,3.33%,Beaver Knoll Park,05/11/2018,90 Beaver Street,Kings,11206
524-579,Round Up Pro Max,214,FL,3.33%,Beaver Knoll Park,05/15/2018,90 Beaver Street,Kings,11206
524-579,Round Up Pro Max,214,FL,3.33%,Beaver Knoll Park,05/04/2018,90 Beaver Street/Bushwick Ave,Kings,11206
524-579,Round Up Pro Max,214,FL,3.33%,Beaver Knoll Park,05/15/2018,90 Beaver St,Kings,11206
524-579,Round Up Pro Max,35.2,FL,2.20%,Holocaust Memorial Park,09/27/2018,West End Avenue/ Neptune Avenue/Shore Boulevard,Kings,11235
524-579,Round Up Pro Max,70.4,FL,2.20%,Holocaust Memorial Park,9/27/2018,West End Ave/Shore Blvd/Emmons ave,,Kings,11235
524-579,Round Up Pro Max,320,FL,3.33%,Holocaust Memorial Park,05/25/2018,West End Ave/ Neptune Ave/Shore Boulevard,,Kings,11235
524-579,Round Up Pro Max,480,FL,3.00%,Oriental Blvd Malls,7/18/2018,Oriental Blvd/West End Avenue/Oxford St,,Kings,11235
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/Canarsie Rd/E 95 St,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/E 91st St/E 92TH St,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/ E 92ND St/ E 93rd St,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/ E 93rd St / Canarsie Rd,,Kings,11236
524-579,Round Up Pro Max,16,FL,2.50%,Greenstreet,06/09/2018,Seaview Ave/E 95TH St/ E 96TH St,,Kings,11236
524-579,Round Up Pro Max,64,FL,3.00%,Greenstreet,8/18/2018,E New York Ave/Alabama Ave/Williams Ave,,Kings,11207
524-579,Round Up Pro Max,9.6,FL,3.00%,Greenstreet,08/12/2018,Jamaica Ave/Bradford St/Arlington St,,Kings,11207
