EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,UNITS,DATE OF APPLICATION,COUNTY CODE,ADDRESSS,MUNICIPALITY,ZIP CODE,DOSAGE RATE,PLACE
062719-00556,Accord XRT II,200 ML,6/14/2018,59 Park Dr and City Island Rd,Bronx,10464,2% Four Sparrow Marsh
062719-00556,Accord XRT II,200 ML,6/18/2018,61 Beach 45 and Rockaway Blvd,Far Rockaway,11691,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,6/19/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00556,Accord XRT II,240 ML,6/21/2018,61 Beach 45 and Rockaway Blvd,Far Rockaway,11691,2% Idlewild Park
062719-00556,Accord XRT II,100 ML,6/26/2018,61 Palisade Ave & 232nd ST,Bronx,10471,2% Idlewild Park
062719-00556,Accord XRT II,100 ML,6/29/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00556,Accord XRT II,900 ML,8/22/2018,62 Park Dr and City Island Rd,Bronx,10464,5% Clove Lakes Park
062719-00556,Accord XRT II,200 ML,4/18/2018,58 Irvington and Hylan,Staten Island,10312,2% Pelham Bay Park
062719-00556,Accord XRT II,400 ML,4/23/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00556,Accord XRT II,300 ML,4/24/2018,58 225th Street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,5/1/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,400 ML,5/2/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,5/3/2018,58 225th street and 149th ave,Springfield Gardens,11413,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,5/11/2018,60 Irvington and Hylan,Staten Island,10312,2% Inwood Hill Park
062719-00324,Accord Concentrate,500 ML,5/24/2018,58 Park Dr and City Island Rd,Bronx,10464,2% Pelham Bay Park
062719-00324,Accord Concentrate,300 ML,5/29/2018,58 Spaulding Lane & Palisades Ave,Bronx,10463,2% Pelham Bay Park
062719-00324,Accord Concentrate,175 ML,6/7/2018,58 Park Dr and City Island Rd,Bronx,10464,1% Pelham Bay Park
062719-00324,Accord Concentrate,200 ML,6/8/2018,58 Spaulding Lane & Palisades Ave,Bronx,10463,2% Pelham Parkway
062719-00324,Accord Concentrate,300 ML,6/19/2018,58 Spaulding Lane & Palisades Ave,Bronx,10463,1.50% Pelham Bay Park
062719-00324,Accord Concentrate,600 ML,6/20/2018,58 Spaulding Lane & Palisades Ave,Bronx,10463,2% Pelham Bay Park
062719-00324,Accord Concentrate,2700 ML,7/20/2018,58 225th street and 149th ave,Springfield Gardens,11413,6% Pelham Bay Park
062719-00556,Accord XRT II,1000 ML,8/22/2018,58 225th street and 149th ave,Springfield Gardens,11413,5% Pelham Bay Park
062719-00324,Rodeo,1500 ML,9/14/2018,61 Park Dr and City Island Rd,Bronx,10465,2% Idlewild Park
062719-00324,Rodeo,1000 ML,9/21/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00324,Rodeo,1500 ML,9/24/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00324,Rodeo,800 ML,10/1/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00324,Rodeo,400 ML,10/3/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00324,Rodeo,400 ML,10/4/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00324,Rodeo,300 ML,10/5/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00556,Accord XRT II,400 ML,4/17/2018,62 225th street and 149th ave,Springfield Gardens,11413,2% Wolfe's Pond Park
062719-00556,Accord XRT II,800 ML,4/18/2018,62 Spaulding Lane & Palisades Ave,Bronx,10463,2% Wolfe's Pond Park
062719-00556,Accord XRT II,700 ML,4/20/2018,62 Palisade Ave & 232nd ST,Bronx,10471,2% Wolfe's Pond Park
062719-00556,Accord XRT II,600 ML,5/1/2018,62 Palisade Ave & 232nd ST,Bronx,10471,2% Clove Lakes Park
062719-00556,Accord XRT II,800 ML,5/2/2018,62 225th street and 149th ave,Springfield Gardens,11413,2% Wolfe's Pond Park
062719-00556,Accord XRT II,400 ML,5/21/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Flushing Meadows Corona Park
062719-00556,Accord XRT II,600 ML,5/25/2018,62 225th street and 149th ave,Springfield Gardens,11413,2% Father Macris Park
062719-00556,Accord XRT II,400 ML,8/21/2018,62 225th street and 149th ave,Springfield Gardens,11413,2% Great Kills Park
062719-00556,Accord XRT II,1500 ML,8/24/2018,62 225th street and 149th ave,Springfield Gardens,11413,5% Clove Lakes Park
062719-00556,Accord XRT II,500 ML,9/6/2018,62 225th street and 149th ave,Springfield Gardens,11413,5% Clove Lakes Park
062719-00556,Accord XRT II,400 ML,9/13/2018,62 225th street and 149th ave,Springfield Gardens,11413,2% Wolfe's Pond Park
062719-00556,Accord XRT II,1000 ML,9/24/2018,62 225th street and 149th ave,Springfield Gardens,11413,5% Wolfe's Pond Park
062719-00556,Accord XRT II,300 ML,6/11/2018,61 225th street and 149th ave,Springfield Gardens,11413,3% Idlewild Park
062719-00556,Accord XRT II,300 ML,6/12/2018,61 225th street and 149th ave,Springfield Gardens,11413,3% Idlewild Park
062719-00556,Accord XRT II,100 ML,6/18/2018,61 Burr Ave and Pelham Parkway S,Bronx,10461,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,6/19/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00556,Accord XRT II,400 ML,6/20/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00556,Accord XRT II,200 ML,6/25/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
062719-00556,Accord XRT II,100 ML,6/26/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00556,Accord XRT II,300 ML,9/4/2018,61 225th street and 149th ave,Springfield Gardens,11413,3% Idlewild Park
062719-00556,Accord XRT II,300 ML,9/14/2018,61 225th street and 149th ave,Springfield Gardens,11413,3% Idlewild Park
062719-00324,Accord Concentrate,300 ML,9/19/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00324,Rodeo,150 ML,9/24/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00324,Rodeo,200 ML,10/4/2018,61 225th street and 149th ave,Springfield Gardens,11413,2% Idlewild Park
062719-00324,Rodeo,200 ML,10/5/2018,61 Park Dr and City Island Rd,Bronx,10464,2% Idlewild Park
