EPA REGISTRATION NUMBER,PRODUCT NAME,QTTY USED,DATE OF APPLICATION,ADDRESS,MUNICIPALITY,ZIP CODE,DOSAGE PARK
062719‐00556,Accord XRT II,200 ML,5/18/2017,61 Springfield Lane and 149th Ave,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,120 ML,5/18/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,20 ML,5/23/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,300 ML,5/23/2017,61 Springfield Lane and 149th Ave,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,6/14/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,75 ML,6/15/2017,61 149th Ave and 225th St,Queens,11413,1.50% Idlewild Park
062719‐00556,Accord XRT II,200 ML,6/15/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,6/15/2017,61 149th street and 225th street,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,200 ML,6/28/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,300 ML,6/28/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,1200 ML,9/8/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,200 ML,9/8/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00324,Accord Concentrate,30 ML,8/16/2017,61 Springfield Lane and 149th Ave,Queens,11413,50% Idlewild Park
062719‐00556,Accord XRT II,200 ML,9/8/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,9/11/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,300 ML,9/11/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,300 ML,9/11/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,300 ML,9/12/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,9/12/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,9/12/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,240 ML,9/21/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,200 ML,9/21/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,200 ML,9/21/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00556,Accord XRT II,200 ML,9/22/2017,61 226th,Queens,11413,2% Idlewild Park
062719‐00324,Rodeo,60 ML,9/25/2017,61 149th Ave and 225th St,Queens,11413,2% Idlewild Park
062719‐00324,Rodeo,50 ML,9/26/2017,61 149th Ave and 225th St,Queens,11413,33% Idlewild Park
062719‐00324,Rodeo,35 ML,9/26/2017,61 149th Ave and 225th St,Queens,11413,33% Idlewild Park
062719‐00324,Rodeo,50 ML,9/26/2017,61 Springfield Lane and 149th Ave,Queens,11413,33.30% Idlewild Park
062719‐00324,Rodeo,50 ML,9/27/2017,61 149th Ave and 225th St,Queens,11413,33% Idlewild Park
062719‐00324,Rodeo,50 ML,9/27/2017,61 149th Ave and 225th St,Queens,11413,33% Idlewild Park
062719‐00324,Rodeo,30 ML,9/27/2017,61 149th Ave and 225th St,Queens,11413,33% Idlewild Park
062719‐00324,Accord Concentrate,6.25 GL,8/23/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00324,Accord Concentrate,6.25 GL,8/28/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00324,Accord Concentrate,6.25 GL,8/30/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00556,Accord XRT II,1800 ML,4/27/2017,62 CedarGrove Ave and Garibaldi Ave,Staten Island,10306,3% Great Kills Park
062719‐00556,Accord XRT II,6.25 GL,8/23/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00556,Accord XRT II,1350 ML,5/18/2017,62 Travis Ave,Staten Island,10314,3% Freshkills Park
062719‐00556,Accord XRT II,300 ML,5/18/2017,62 Travis Ave,Staten Island,10314,1% Freshkills Park
062719‐00556,Accord XRT II,1050 ML,5/18/2017,62 Holten Ave,Staten Island,10309,1% Wolfe's Pond Park
062719‐00556,Accord XRT II,2250 ML,8/8/2017,62 Billop Ave and Surf Ave,Staten Island,10307,3% Conference House Park
062719‐00556,Accord XRT II,2250 ML,8/8/2017,62 Billop Ave and Surf Ave,Staten Island,10307,3% Conference House Park
062719‐00556,Accord XRT II,6.25 GL,8/28/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00556,Accord XRT II,6.25 GL,8/30/2017,62 Buffalo Street,Staten Island,10306,1.25% Great Kills Park
062719‐00556,Accord XRT II,750 ML,7/25/2017,62 surf ave and billops,Staten Island,10307,2.50% Conference House Park
062719‐00556,Accord XRT II,600 ML,7/31/2017,62 billop and surf,Staten Island,10307,2% Conference House Park
062719‐00556,Accord XRT II,1000 ML,7/31/2017,62 Surf Avene,Staten Island,10307,5% Conference House Park
062719‐00556,Accord XRT II,900 ML,8/1/2017,62 surf and billups,Staten Island,10307,2% Conference House Park
062719‐00556,Accord XRT II,400 ML,8/2/2017,62 surf and billup,Staten Island,10307,2% Conference House Park
062719‐00556,Accord XRT II,400 ML,8/2/2017,62 surf and billup,Staten Island,10307,2% Conference House Park
062719‐00556,Accord XRT II,2000 ML,8/11/2017,62 utter and slossen,Staten Island,10310,5% Clove Lakes Park
062719‐00556,Accord XRT II,1500 ML,8/21/2017,62 utter and slosson,Staten Island,10301,5% Clove Lakes Park
062719‐00556,Accord XRT II,500 ML,8/21/2017,62 Slosson Avenue,Staten Island,10301,5% Clove Lakes Park
062719‐00556,Accord XRT II,1500 ML,8/22/2017,62 utter and slosson,Staten Island,10301,5% Clove Lakes Park
062719‐00556,Accord XRT II,500 ML,8/22/2017,62 Slosson Ave,Staten Island,10301,5% Clove Lakes Park
062719‐00556,Accord XRT II,2000 ML,8/23/2017,62 utter and slosson,Staten Island,10301,5% Clove Lakes Park
062719‐00556,Accord XRT II,1000 ML,8/23/2017,62 Slosson Ave,Staten Island,10301,5% Clove Lakes Park
062719‐00556,Accord XRT II,2000 ML,8/24/2017,62 utter and slosson,Staten Island,10301,5% Clove Lakes Park
062719‐00556,Accord XRT II,1000 ML,8/24/2017,62 Slosson,Staten Island,10301,5% Conference House Park
062719‐00556,Accord XRT II,2000 ML,9/12/2017,62 billops and surf,Staten Island,10307,5% Conference House Park
062719‐00556,Accord XRT II,500 ML,9/12/2017,62 surf and billops ave,Staten Island,10307,2% Conference House Park
